pair_id,start_gantry_id,start_link_id,longitude,latitude,end_gantry_id,end_link_id,longitude,latitude,distance_km,direction
01F1123S_01F1292S,01F1123S,0000100011200K,120.904267,24.679317,01F1292S,0000100012900K,120.838925,24.550442,16.9,South
01F1292N_01F1123N,01F1292N,0000100112900K,120.838925,24.550442,01F1123N,0000100111200K,120.904267,24.679317,16.9,North
01F1292S_01F1389S,01F1292S,0000100012900K,120.838925,24.550442,01F1389S,0000100013800K,120.781903,24.485919,9.7,South
01F1389N_01F1292N,01F1389N,0000100113800K,120.781903,24.485919,01F1292N,0000100112900K,120.838925,24.550442,9.7,North
01F1389S_01F1465S,01F1389S,0000100013800K,120.781903,24.485919,01F1465S,0000100014600K,120.775731,24.420514,7.6,South
01F1465N_01F1389N,01F1465N,0000100114600K,120.775731,24.420514,01F1389N,0000100113800K,120.781903,24.485919,7.6,North
01F1465S_01F1572S,01F1465S,0000100014600K,120.775731,24.420514,01F1572S,0000100015700B,120.72085,24.339147,10.7,South
01F1572N_01F1465N,01F1572N,0000100115700B,120.72085,24.339147,01F1465N,0000100114600K,120.775731,24.420514,10.7,North
01F1572S_01F1621S,01F1572S,0000100015700B,120.72085,24.339147,01F1621S,0000100016200B,120.697325,24.301186,4.9,South
01F1621N_01F1572N,01F1621N,0000100116200B,120.697325,24.301186,01F1572N,0000100115700B,120.72085,24.339147,4.9,North
01F1621S_01F1664S,01F1621S,0000100016200B,120.697325,24.301186,01F1664S,0000100016610B,120.691956,24.262647,4.3,South
01F1621S_03F1651N,01F1621S,0000100016200B,120.697325,24.301186,03F1651N,0000300116520B,120.635574,24.334719,16,North
01F1621S_03F1710S,01F1621S,0000100016200B,120.697325,24.301186,03F1710S,0000300017100B,120.60197,24.292881,15.1,South
01F1664N_01F1621N,01F1664N,0000100116620B,120.691956,24.262647,01F1621N,0000100116200B,120.697325,24.301186,4.3,North
01F1664N_03F1651N,01F1664N,0000100116620B,120.691956,24.262647,03F1651N,0000300116520B,120.635574,24.334719,13.6,North
